t_s,width_x_m,width_3d_m,width_norm
3.803799999999999848e+00,8.366560852440105278e-02,1.284795788805199734e-01,4.304078704417603207e-01
3.820483333333333231e+00,8.332616768968600929e-02,1.281481867858373647e-01,4.262884428359952627e-01
3.837166666666666615e+00,8.341107469880162939e-02,1.282217173476568051e-01,4.273188677039032601e-01
3.853849999999999998e+00,8.339888086016750135e-02,1.282122630037082767e-01,4.271708842253337246e-01
3.870533333333333381e+00,8.355605197734941592e-02,1.283716489720383436e-01,4.290783006959880685e-01
3.887216666666666764e+00,8.311166735767550051e-02,1.279295016579402589e-01,4.236852834669356804e-01
3.903900000000000148e+00,8.397290121579950584e-02,1.287930475639269823e-01,4.341371506771784516e-01
3.920583333333333531e+00,8.367961205893109655e-02,1.284993168783090112e-01,4.305778162491638028e-01
3.937266666666666914e+00,8.336852104997188873e-02,1.282007036030649028e-01,4.268024399268433022e-01
3.953949999999999854e+00,8.349058436625581003e-02,1.283151002193996248e-01,4.282837908526190285e-01
3.970633333333333237e+00,8.350090597513629143e-02,1.283304841406662788e-01,4.284090530963142185e-01
3.987316666666666620e+00,8.399110526522685083e-02,1.288161104015290159e-01,4.343580736071219750e-01
4.004000000000000448e+00,8.380999129077909560e-02,1.286436113917627244e-01,4.321600884803288301e-01
4.020683333333333387e+00,8.370662731996375561e-02,1.285382088182434601e-01,4.309056713587834375e-01
4.037366666666666326e+00,8.464851193491446102e-02,1.294669460612626888e-01,4.423363098897385992e-01
4.054050000000000153e+00,8.389810019384807971e-02,1.287292628436050856e-01,4.332293712845640687e-01
4.070733333333333093e+00,8.428909100970966017e-02,1.291059467173176212e-01,4.379744054576414913e-01
4.087416666666666920e+00,8.383745855535654212e-02,1.286767924678431374e-01,4.324934290698609352e-01
4.104099999999999859e+00,8.381628752487924050e-02,1.286556025632600853e-01,4.322364990883402758e-01
4.120783333333333687e+00,8.441605431196630427e-02,1.292614501618663536e-01,4.395152222326007552e-01
4.137466666666666626e+00,8.416264394431474671e-02,1.290022335784173635e-01,4.364398536931401451e-01
4.154150000000000453e+00,8.423583859131567042e-02,1.290706906440092505e-01,4.373281382441221998e-01
4.170833333333333393e+00,8.403791924534792512e-02,1.288729509627631054e-01,4.349262044338340627e-01
4.187516666666666332e+00,8.403701483026865260e-02,1.288761782458942295e-01,4.349152285226778325e-01
4.204200000000000159e+00,8.409541760041938652e-02,1.289322820754490451e-01,4.356240000050896621e-01
4.220883333333333098e+00,7.509523539668458425e-02,1.211615025752182662e-01,3.263984878238420650e-01
4.237566666666666926e+00,7.535484074752485384e-02,1.213765485240789616e-01,3.295490381981171502e-01
4.254249999999999865e+00,8.475431952918771605e-02,1.295855011214323560e-01,4.436203826357732471e-01
4.270933333333333692e+00,8.473642856773205834e-02,1.295736824978497292e-01,4.434032593171366443e-01
4.287616666666666632e+00,8.502517153929314841e-02,1.298609271679630750e-01,4.469074215933634409e-01
4.304300000000000459e+00,9.018858769281959398e-02,1.355437506983761531e-01,5.095702389905290008e-01
4.320983333333333398e+00,8.465074391501015150e-02,1.294875661558367308e-01,4.423633970268222027e-01
4.337666666666666337e+00,8.498505995563365722e-02,1.298125345941137931e-01,4.464206305295346788e-01
4.354350000000000165e+00,8.482485335935607829e-02,1.296583615346838525e-01,4.444763757203407661e-01
4.371033333333333104e+00,8.496700053452219126e-02,1.298001023311343427e-01,4.462014627975994241e-01
4.387716666666666931e+00,8.490425389301253789e-02,1.297413850854114703e-01,4.454399744297637964e-01
4.404399999999999871e+00,8.511968930758717633e-02,1.299584506733923450e-01,4.480544818881939118e-01
4.421083333333333698e+00,8.498669433179889543e-02,1.298247723954767119e-01,4.464404651917341371e-01
4.437766666666666637e+00,8.515242831996533424e-02,1.299916862737185153e-01,4.484517999995792925e-01
4.454450000000000465e+00,8.478635374993881424e-02,1.296156213257767253e-01,4.440091474507137370e-01
4.471133333333333404e+00,8.502529518813059517e-02,1.298541073931456236e-01,4.469089221860508832e-01
4.487816666666666343e+00,8.511600586752435249e-02,1.299484982635200903e-01,4.480097799456838614e-01
4.504500000000000171e+00,8.519111575076343534e-02,1.300086570623943671e-01,4.489213076548960735e-01
4.521183333333333110e+00,8.505394775973976196e-02,1.298798830839231477e-01,4.472566475696573285e-01
4.537866666666666937e+00,8.535175951023615815e-02,1.301809984036918777e-01,4.508708678426718297e-01
4.554549999999999876e+00,8.555991469333384947e-02,1.303896296304326297e-01,4.533970229773525151e-01
4.571233333333333704e+00,8.553899023186378736e-02,1.303738710142819113e-01,4.531430853381527291e-01
4.587916666666666643e+00,8.540724587430367776e-02,1.302327009118081358e-01,4.515442460473747532e-01
4.604600000000000470e+00,8.532235645877878083e-02,1.301398468018677423e-01,4.505140346939172646e-01
4.621283333333333410e+00,8.523020469355607753e-02,1.300511643324724909e-01,4.493956880285931432e-01
4.637966666666666349e+00,8.517751597617290171e-02,1.300067621798833284e-01,4.487562618467584863e-01
4.654650000000000176e+00,8.501085683302450624e-02,1.298392189062130553e-01,4.467336994299090369e-01
4.671333333333333115e+00,8.502986460367562005e-02,1.298571658935758488e-01,4.469643762581992918e-01
4.688016666666666943e+00,8.507792596619234704e-02,1.299061444715401414e-01,4.475476452207808875e-01
4.704699999999999882e+00,8.520653131606342745e-02,1.300399722161431071e-01,4.491083897580512851e-01
4.721383333333333709e+00,8.535560834174968359e-02,1.301926289790807378e-01,4.509175769629815700e-01
4.738066666666666649e+00,8.566593318731022255e-02,1.305353947335854137e-01,4.546836551858036701e-01
4.754750000000000476e+00,8.577444975276882211e-02,1.306155549344236166e-01,4.560006037957381464e-01
4.771433333333333415e+00,8.589397652212069079e-02,1.307379708488577152e-01,4.574511713849598316e-01
4.788116666666666355e+00,8.549321561069803121e-02,1.303139071809342187e-01,4.525875680909955401e-01
