frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
191,6.373033,2,false,false,0.032383665,-0.170456260,0.310949087,0.024689425,0.066106923,0.034859199,0.996897757
192,6.406400,2,false,false,0.032053608,-0.171854496,0.309780568,0.024925962,0.065955564,0.033662476,0.996943057
193,6.439767,2,false,false,0.031544782,-0.173728272,0.308704078,-0.024947783,-0.067286052,-0.032305196,-0.996898532
194,6.473133,2,false,false,0.030937999,-0.175433502,0.307450742,-0.025740495,-0.067627497,-0.031186748,-0.996890903
195,6.506500,2,false,false,0.030825792,-0.177301794,0.306029499,-0.027133431,-0.066740513,-0.031795848,-0.996894479
196,6.539867,2,false,false,0.030901033,-0.179087892,0.304256648,-0.029661044,-0.065979950,-0.032808814,-0.996840239
197,6.573233,2,false,false,0.030625796,-0.181066096,0.302541167,-0.031604897,-0.066003747,-0.033547241,-0.996754408
198,6.606600,2,false,false,0.030577097,-0.183087498,0.300784409,-0.032632139,-0.066533595,-0.033809874,-0.996677160
199,6.639967,2,false,false,0.030943867,-0.185262889,0.298891455,-0.034224194,-0.066883251,-0.034470543,-0.996577740
200,6.673333,2,false,false,0.031536225,-0.187411129,0.297229052,-0.036345933,-0.067236237,-0.036442254,-0.996408701
201,6.706700,2,false,true,0.032005716,-0.189171612,0.294750720,0.039125565,0.067591891,0.037751894,0.996230602
202,6.740067,2,false,false,0.032623779,-0.190801859,0.293144792,0.040885881,0.068054080,0.039064895,0.996077836
203,6.773433,2,false,false,0.033363510,-0.192439541,0.291251272,0.042319879,0.068227306,0.039640028,0.995983362
204,6.806800,2,false,false,0.033640664,-0.193555653,0.289786994,0.043568332,0.067921981,0.039265059,0.995965183
205,6.840167,2,false,false,0.034177553,-0.194412738,0.288415521,0.043964334,0.068232894,0.037899248,0.995979488
206,6.873533,2,false,false,0.034830619,-0.194910869,0.286874741,0.044042528,0.068299077,0.036139965,0.996036887
207,6.906900,2,false,false,0.035835534,-0.195361555,0.285512894,0.043988433,0.068749368,0.034892604,0.996052802
208,6.940267,2,false,false,0.037428427,-0.195614070,0.284076780,0.044346742,0.069785148,0.034330312,0.995984435
209,6.973633,2,false,false,0.039306298,-0.195703238,0.282218963,-0.043926246,-0.071785502,-0.033918917,-0.995875001
210,7.007000,2,false,false,0.041438740,-0.195705175,0.280406982,-0.044104792,-0.074819140,-0.033402354,-0.995661199
211,7.040367,2,false,false,0.044633668,-0.195566729,0.278397501,-0.044735208,-0.077522255,-0.034313079,-0.995395303
212,7.073733,2,false,false,0.048277564,-0.195646182,0.276352555,-0.045253944,-0.080701098,-0.035657816,-0.995071888
213,7.107100,2,false,false,0.052411430,-0.195547491,0.274195313,-0.045823198,-0.085380986,-0.035429586,-0.994663358
214,7.140467,2,false,false,0.057056382,-0.195631400,0.271936357,-0.046018336,-0.091199622,-0.035941679,-0.994119346
215,7.173833,2,false,false,0.061854515,-0.195412174,0.269739985,-0.046657279,-0.096680954,-0.036727417,-0.993542671
216,7.207200,2,false,true,0.067078948,-0.194602221,0.266584039,0.047240999,0.101084396,0.034835681,0.993144870
217,7.240567,2,false,false,0.072121888,-0.194358930,0.264115483,0.046422053,0.106970273,0.032833412,0.992635071
218,7.273933,2,false,false,0.077374920,-0.193886906,0.262029588,0.045482460,0.113670640,0.031422958,0.991979361
219,7.307300,2,false,false,0.083034135,-0.193116829,0.259459406,0.044579279,0.118867949,0.029680112,0.991464674
220,7.340667,2,false,false,0.088748388,-0.192354947,0.257056206,0.043791600,0.125104234,0.029505733,0.990737498
221,7.374033,2,false,false,0.094648801,-0.191348538,0.254121453,0.043507028,0.131890520,0.031410940,0.989810824
222,7.407400,2,false,false,0.100139216,-0.190390468,0.251571357,0.042740736,0.136546597,0.032116100,0.989189982
223,7.440767,2,false,false,0.104314178,-0.189489022,0.249662474,0.041524373,0.142165348,0.031694453,0.988463640
224,7.474133,2,false,false,0.107103258,-0.188716531,0.248551086,-0.041504089,-0.147283122,-0.032238383,-0.987697244
225,7.507500,2,false,false,0.110411517,-0.187399492,0.246070832,-0.041921232,-0.149802282,-0.034180507,-0.987235308
226,7.540867,2,false,false,0.112799197,-0.185487539,0.243809655,-0.041991286,-0.151448354,-0.035079796,-0.986949682
227,7.574233,2,false,false,0.114021905,-0.183735356,0.241971210,-0.041176096,-0.153117701,-0.034519184,-0.986746132
228,7.607600,2,false,false,0.114946343,-0.182060227,0.239961863,-0.039976396,-0.154875338,-0.033062629,-0.986571074
229,7.640967,2,false,false,0.115532838,-0.179877803,0.237997055,-0.038418990,-0.155346885,-0.032168273,-0.986588299
230,7.674333,2,false,false,0.115917996,-0.177534208,0.235449925,-0.035766978,-0.155019626,-0.031052494,-0.986775279
231,7.707700,2,false,true,0.115277700,-0.174618840,0.233369172,0.034284346,0.156067908,0.029894769,0.986698389
232,7.741067,2,false,false,0.114698254,-0.171967402,0.231209040,0.032377273,0.155408114,0.029712185,0.986872435
233,7.774433,2,false,false,0.113998882,-0.169239387,0.228963554,0.031303216,0.153989479,0.030031301,0.987119794
234,7.807800,2,false,false,0.113830887,-0.166349888,0.225979328,0.030808998,0.154072896,0.033150628,0.987022519
